,Ideal,Usuario
0,4.684462298010004,2.072255291550189
1,4.5284799102056725,3.9296182964705166
2,4.749360327017393,1.9646795998766742
3,4.7027259704644555,4.581850965962546
4,4.547751448999246,2.8742087707681243
5,4.5329316893494465,2.725284803353641
6,4.339491798219081,2.634513038648747
7,4.016848339015076,2.5074464931194904
8,4.670943430561267,2.503126283026129
9,4.75,0.7169439644749882
10,4.635687860136361,3.543030549560132
11,3.9843165771296816,3.1587814011967414
12,4.357304351019705,3.293479322954173
13,4.219950281610847,1.186896963181411
14,4.504464220251745,2.9823705482937783
15,3.6441151189595553,1.8138466974139216
16,4.340458493019139,3.4807890627438245
17,4.580026092859673,2.75328026106427
18,4.592979334654379,1.2776313089069053
19,4.75,2.4985367690353177
20,68.63615749587991,49.57136804035408
